Particle,Stick Probability,n,r,d
36802,0.61,9677,208.4059,1.7188
44645,0.62,12388,208.4059,1.7651
41881,0.63,11593,209.0383,1.7516
41396,0.64,11538,208.6552,1.7513
40398,0.65,10841,208.5042,1.7399
38573,0.66,10633,208.521,1.7363
38265,0.67,10026,209.1626,1.7243
42466,0.68,12232,208.3459,1.7628
45356,0.69,13144,209.0383,1.7751
40856,0.7,11787,208.6552,1.7553
49118,0.71,14600,208.866,1.7951
44339,0.72,12481,209.0024,1.7655
38306,0.73,10596,209.0861,1.7347
38719,0.74,10967,208.9521,1.7414
40251,0.75,10994,209.0933,1.7416
40975,0.76,11308,209.1531,1.7468
36922,0.77,10168,209.2391,1.7268
39400,0.78,11304,208.4059,1.7479
43312,0.79,12974,208.4634,1.7736
41660,0.8,12298,209.1937,1.7624
38544,0.81,10344,209.1602,1.7301
36479,0.82,9748,208.4922,1.72
40712,0.83,10781,208.9234,1.7382
39669,0.84,11116,208.4706,1.7447
42187,0.85,12234,208.3867,1.7627
42298,0.86,12321,208.8301,1.7634
42214,0.87,12142,208.866,1.7606
42591,0.88,12410,208.3699,1.7654
43159,0.89,12433,208.3699,1.7658
40615,0.9,11187,208.8851,1.7452
38201,0.91,10338,209.0933,1.7301
44259,0.92,12962,208.5402,1.7733
43397,0.93,13484,208.8564,1.7802
40966,0.94,11759,208.4826,1.7552
44506,0.95,13216,208.6552,1.7768
41934,0.96,12358,208.8061,1.764
39373,0.97,10957,208.6337,1.7417
33130,0.98,8652,208.6265,1.6975
35073,0.99,9579,208.5402,1.7167
37502,1,10331,209.0861,1.73
679114,0.01,193788,416.9233,2.018
499231,0.02,140905,416.6773,1.9654
396566,0.03,108094,417.1055,1.9211
381805,0.04,108995,417.1391,1.9225
316790,0.05,87597,416.7505,1.8865
284425,0.06,75367,417.465,1.8611
304854,0.07,89665,417.1534,1.8901
293968,0.08,87057,417.1954,1.8852
238006,0.09,61190,417.3464,1.8266
236327,0.1,67908,417.0432,1.8441
265528,0.11,79066,416.6773,1.8696
223890,0.12,62813,417.326,1.831
